region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
low,weekend,off_peak,speed,2.5727272727272728,3.8237932419296112,67.28207070707072,65.41035353535354
low,weekend,off_peak,density_proxy,1.9030547517194472,50.20151006856264,3.7908316883702358,4.434543504205785
low,weekend,off_peak,flow_diff1,74.03661616161617,76.88384229089907,-72.76388888888889,-107.73737373737374
low,weekend,off_peak,speed_diff1,1.8449494949494947,455.7704304429194,-0.013383838383838404,0.2727272727272727
low,weekend,off_peak,hour_sin,0.0,0.0,-1.5419764230904951e-16,-1.5419764230904951e-16
low,weekend,off_peak,hour_cos,0.0,0.0,0.6905231011568319,0.6905231011568319
low,weekend,off_peak,dow_sin,0.0,0.0,-0.8783796973249269,-0.8783796973249269
low,weekend,off_peak,dow_cos,0.0,0.0,0.2004844339512094,0.2004844339512094
low,weekend,pm_peak,flow,615.4861111111111,48.59527151504518,1266.5555555555557,1608.1458333333333
low,weekend,pm_peak,speed,3.022916666666667,4.512470715070596,66.99027777777776,65.29166666666667
low,weekend,pm_peak,density_proxy,10.07002966380469,52.97437472018787,19.009246861326574,24.74518093190314
low,weekend,pm_peak,flow_diff1,151.71180555555554,97.94221156217077,-144.23263888888889,-158.55555555555554
low,weekend,pm_peak,speed_diff1,1.344444444444445,161.46788990825698,0.22361111111111137,-0.4270833333333333
low,weekend,pm_peak,hour_sin,0.0,0.0,-0.8847645028150135,-0.8847645028150135
low,weekend,pm_peak,hour_cos,0.0,0.0,-0.3664814565722673,-0.3664814565722673
low,weekend,pm_peak,dow_sin,0.0,0.0,-0.8783796973249268,-0.8783796973249268
low,weekend,pm_peak,dow_cos,0.0,0.0,0.2004844339512094,0.2004844339512094
rural,weekday,am_peak,flow,486.55326086956524,14.323669642571438,3396.8478260869565,3359.157608695652
rural,weekday,am_peak,speed,11.663804347826087,20.187374777774643,57.77771739130435,69.43913043478261
rural,weekday,am_peak,density_proxy,12.007213751282467,20.32398319241174,59.07903798978509,48.561756512499784
rural,weekday,am_peak,flow_diff1,406.2532608695652,150.28025283067421,109.34347826086956,342.52065217391305
rural,weekday,am_peak,speed_diff1,2.408695652173913,82.63106868521142,-2.1656521739130437,-0.5565217391304348
rural,weekday,am_peak,hour_sin,0.0,0.0,0.8847645028150136,0.8847645028150136
rural,weekday,am_peak,hour_cos,0.0,0.0,-0.36648145657226705,-0.36648145657226705
rural,weekday,am_peak,dow_sin,0.0,0.0,0.34791154307744515,0.34791154307744515
rural,weekday,am_peak,dow_cos,0.0,0.0,-0.1577536583204708,-0.1577536583204708
rural,weekday,midday,flow,645.62,18.45952612470112,3497.4895652173914,4006.6939130434785
rural,weekday,midday,speed,10.203826086956523,17.564889381193307,58.09217391304348,67.6295652173913
rural,weekday,midday,density_proxy,10.23680550215122,16.84392836058925,60.774454052552784,60.100112275547126
rural,weekday,midday,flow_diff1,270.62,129.70288776917852,27.82521739130435,185.19652173913045
rural,weekday,midday,speed_diff1,2.305217391304348,125.4139464471568,0.4789565217391305,-0.717391304347826
rural,weekday,midday,hour_sin,0.0,0.0,1.1333928964434207e-16,1.1333928964434207e-16
rural,weekday,midday,hour_cos,0.0,0.0,-0.9327804920294028,-0.9327804920294028
rural,weekday,midday,dow_sin,0.0,0.0,0.3479115430774451,0.3479115430774451
rural,weekday,midday,dow_cos,0.0,0.0,-0.1577536583204708,-0.1577536583204708
rural,weekday,off_peak,flow,574.7608870967742,39.19473285211362,1466.4237903225805,1392.516129032258
